<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;D;01.03.21;0;4858.6000000;5009.2000000;4820.2000000;5004.6000000;1090605
YNDX;D;02.03.21;0;4968.4000000;5068.6000000;4960.0000000;5027.0000000;683676
YNDX;D;03.03.21;0;5054.8000000;5133.0000000;4875.0000000;4890.2000000;1021134
YNDX;D;04.03.21;0;4906.2000000;4953.0000000;4662.4000000;4718.2000000;1342783
YNDX;D;05.03.21;0;4729.8000000;4819.8000000;4626.8000000;4722.8000000;1438430
YNDX;D;09.03.21;0;4589.8000000;4769.2000000;4575.0000000;4707.6000000;1501368
YNDX;D;10.03.21;0;4720.0000000;4831.2000000;4652.8000000;4692.0000000;1117692
YNDX;D;11.03.21;0;4716.0000000;4898.0000000;4713.6000000;4889.8000000;941686
YNDX;D;12.03.21;0;4858.8000000;4963.6000000;4816.0000000;4960.4000000;757248
YNDX;D;15.03.21;0;4972.0000000;5063.8000000;4932.0000000;5039.0000000;1138969
YNDX;D;16.03.21;0;5049.2000000;5177.8000000;4957.0000000;5161.8000000;1550466
YNDX;D;17.03.21;0;5150.0000000;5150.0000000;4955.0000000;5037.6000000;1872694
YNDX;D;18.03.21;0;5061.6000000;5120.0000000;4826.2000000;4858.0000000;1791738
YNDX;D;19.03.21;0;4873.0000000;4954.8000000;4812.6000000;4880.0000000;1153421
YNDX;D;22.03.21;0;4894.0000000;4954.6000000;4875.0000000;4891.0000000;539226
YNDX;D;23.03.21;0;4890.6000000;4953.6000000;4853.8000000;4906.0000000;669877
YNDX;D;24.03.21;0;4910.2000000;4977.2000000;4825.0000000;4850.0000000;845120
YNDX;D;25.03.21;0;4851.0000000;4878.8000000;4683.0000000;4741.0000000;1120317
YNDX;D;26.03.21;0;4766.6000000;4833.8000000;4700.2000000;4785.0000000;798846
YNDX;D;29.03.21;0;4785.0000000;4835.0000000;4735.0000000;4830.0000000;620133
YNDX;D;30.03.21;0;4818.6000000;4818.6000000;4721.0000000;4788.0000000;715561
YNDX;D;31.03.21;0;4804.4000000;4915.0000000;4725.0000000;4859.0000000;1119731
YNDX;D;01.04.21;0;4886.0000000;4962.8000000;4868.0000000;4949.2000000;832481
YNDX;D;02.04.21;0;4960.0000000;4960.0000000;4890.0000000;4935.0000000;294486
YNDX;D;05.04.21;0;4935.0000000;4958.4000000;4884.0000000;4940.0000000;409203
YNDX;D;06.04.21;0;4937.0000000;4991.6000000;4917.8000000;4961.8000000;691979
YNDX;D;07.04.21;0;4963.0000000;4979.8000000;4822.0000000;4845.2000000;666770
YNDX;D;08.04.21;0;4872.4000000;4958.0000000;4850.0000000;4888.0000000;700448
YNDX;D;09.04.21;0;4885.2000000;4891.4000000;4794.0000000;4813.0000000;469363
YNDX;D;12.04.21;0;4806.0000000;4907.0000000;4777.2000000;4854.8000000;627250
YNDX;D;13.04.21;0;4865.2000000;4882.0000000;4510.0000000;4600.0000000;3817613
YNDX;D;14.04.21;0;4630.0000000;4721.4000000;4576.2000000;4661.0000000;2828314
YNDX;D;15.04.21;0;4636.6000000;4697.4000000;4617.0000000;4677.8000000;988193
YNDX;D;16.04.21;0;4683.8000000;4697.0000000;4650.6000000;4690.0000000;553149
YNDX;D;19.04.21;0;4695.0000000;4743.4000000;4650.0000000;4663.8000000;953222
YNDX;D;20.04.21;0;4679.4000000;4707.0000000;4621.0000000;4665.6000000;796491
YNDX;D;21.04.21;0;4667.8000000;4677.8000000;4631.4000000;4648.0000000;423533
YNDX;D;22.04.21;0;4642.0000000;4687.0000000;4590.0000000;4605.0000000;850772
YNDX;D;23.04.21;0;4623.2000000;4623.2000000;4521.4000000;4570.2000000;831281
YNDX;D;26.04.21;0;4570.2000000;4721.0000000;4558.8000000;4703.6000000;1112408
YNDX;D;27.04.21;0;4707.0000000;4776.0000000;4671.0000000;4732.0000000;993756
YNDX;D;28.04.21;0;4730.2000000;4857.8000000;4676.2000000;4834.8000000;2009902
YNDX;D;29.04.21;0;4851.4000000;5054.8000000;4834.0000000;5040.0000000;1769231
YNDX;D;30.04.21;0;5027.2000000;5048.0000000;4887.2000000;4934.8000000;1318008
YNDX;D;04.05.21;0;4910.0000000;4948.0000000;4742.0000000;4802.2000000;987366
YNDX;D;05.05.21;0;4821.6000000;4924.8000000;4815.2000000;4864.4000000;698437
YNDX;D;06.05.21;0;4859.6000000;4909.0000000;4751.2000000;4828.6000000;770602
YNDX;D;07.05.21;0;4839.8000000;4859.0000000;4785.0000000;4831.6000000;514574
YNDX;D;10.05.21;0;4824.0000000;4836.8000000;4690.0000000;4702.8000000;679601
YNDX;D;11.05.21;0;4685.0000000;4698.0000000;4570.8000000;4678.0000000;1203590
YNDX;D;12.05.21;0;4678.0000000;4731.4000000;4581.4000000;4601.0000000;964585
YNDX;D;13.05.21;0;4599.8000000;4659.8000000;4574.0000000;4638.4000000;836836
YNDX;D;14.05.21;0;4651.8000000;4699.2000000;4615.6000000;4687.0000000;503970
YNDX;D;17.05.21;0;4685.0000000;4706.6000000;4609.2000000;4704.2000000;537501
YNDX;D;18.05.21;0;4726.0000000;4814.6000000;4700.0000000;4740.0000000;967606
YNDX;D;19.05.21;0;4752.0000000;4755.2000000;4653.0000000;4741.6000000;594753
YNDX;D;20.05.21;0;4748.0000000;4762.0000000;4666.0000000;4750.8000000;549267
YNDX;D;21.05.21;0;4740.0000000;4796.6000000;4692.0000000;4767.2000000;635993
YNDX;D;24.05.21;0;4790.6000000;4900.0000000;4741.2000000;4891.8000000;785575
YNDX;D;25.05.21;0;4890.2000000;4928.8000000;4881.2000000;4897.8000000;489356
YNDX;D;26.05.21;0;4905.4000000;5005.0000000;4898.4000000;4995.4000000;728677
YNDX;D;27.05.21;0;4995.0000000;5020.0000000;4930.0000000;4962.2000000;1123473
YNDX;D;28.05.21;0;4980.8000000;5012.6000000;4920.2000000;4945.0000000;363633
YNDX;D;31.05.21;0;4974.0000000;4998.8000000;4916.2000000;4942.0000000;231371
YNDX;D;01.06.21;0;4950.0000000;5030.0000000;4890.0000000;4933.0000000;581810
YNDX;D;02.06.21;0;4933.0000000;4988.0000000;4895.0000000;4948.0000000;680065
YNDX;D;03.06.21;0;4979.2000000;4994.0000000;4886.6000000;4901.8000000;453756
YNDX;D;04.06.21;0;4914.4000000;4935.4000000;4861.2000000;4923.4000000;534795
YNDX;D;07.06.21;0;4923.4000000;4928.2000000;4865.0000000;4911.4000000;322039
YNDX;D;08.06.21;0;4912.4000000;4935.2000000;4871.8000000;4889.6000000;429070
YNDX;D;09.06.21;0;4899.8000000;5020.0000000;4865.2000000;4973.0000000;843246
YNDX;D;10.06.21;0;4968.0000000;5025.0000000;4930.0000000;5005.8000000;510385
YNDX;D;11.06.21;0;5020.0000000;5093.2000000;4975.6000000;5056.8000000;871342
YNDX;D;14.06.21;0;5070.6000000;5096.4000000;5037.2000000;5090.0000000;214712
YNDX;D;15.06.21;0;5087.4000000;5087.4000000;4910.2000000;4925.0000000;559238
YNDX;D;16.06.21;0;4931.6000000;4993.0000000;4899.0000000;4962.8000000;534296
YNDX;D;17.06.21;0;4952.6000000;5063.0000000;4928.2000000;5041.4000000;642669
YNDX;D;18.06.21;0;5032.0000000;5110.0000000;4951.6000000;5047.0000000;865518
YNDX;D;21.06.21;0;5047.0000000;5123.0000000;5002.0000000;5008.4000000;491552
YNDX;D;22.06.21;0;5016.8000000;5036.0000000;4982.0000000;5007.0000000;366983
YNDX;D;23.06.21;0;5008.8000000;5046.4000000;4985.0000000;5040.0000000;319871
YNDX;D;24.06.21;0;5050.0000000;5070.0000000;5007.0000000;5033.0000000;375630
YNDX;D;25.06.21;0;5040.2000000;5103.0000000;5020.6000000;5088.0000000;363564
YNDX;D;28.06.21;0;5088.0000000;5155.0000000;5064.0000000;5099.8000000;337688
YNDX;D;29.06.21;0;5102.8000000;5119.8000000;5027.0000000;5084.6000000;486779
YNDX;D;30.06.21;0;5084.0000000;5199.0000000;5071.2000000;5176.6000000;859944
YNDX;D;01.07.21;0;5179.0000000;5199.0000000;5089.4000000;5168.6000000;380605
YNDX;D;02.07.21;0;5140.6000000;5229.8000000;5127.6000000;5216.0000000;338974
YNDX;D;05.07.21;0;5230.2000000;5236.4000000;5191.2000000;5212.4000000;191960
YNDX;D;06.07.21;0;5209.4000000;5262.4000000;5163.0000000;5247.4000000;476766
YNDX;D;07.07.21;0;5248.0000000;5410.0000000;5235.6000000;5341.4000000;1001716
YNDX;D;08.07.21;0;5340.0000000;5379.8000000;5216.0000000;5354.2000000;619467
YNDX;D;09.07.21;0;5361.6000000;5361.6000000;5151.0000000;5235.8000000;625317
