<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;D;15/03/21;00:00:00;520.0000000;520.0000000;507.4000000;508.7000000;13590
MDMG;D;16/03/21;00:00:00;505.3500000;510.6500000;503.0000000;507.2500000;10830
MDMG;D;17/03/21;00:00:00;508.5500000;513.0000000;508.5000000;512.0000000;4750
MDMG;D;18/03/21;00:00:00;512.0500000;517.3500000;510.1000000;516.0000000;10430
MDMG;D;19/03/21;00:00:00;515.5000000;517.6500000;508.0000000;510.7000000;3650
MDMG;D;22/03/21;00:00:00;538.3500000;538.3500000;522.0000000;529.7500000;21860
MDMG;D;23/03/21;00:00:00;535.0000000;543.8000000;529.0000000;538.5000000;39000
MDMG;D;24/03/21;00:00:00;543.7000000;556.5000000;540.0000000;547.0000000;23910
MDMG;D;25/03/21;00:00:00;554.8000000;564.6000000;542.8000000;562.1000000;33180
MDMG;D;26/03/21;00:00:00;576.9500000;599.0000000;545.0000000;563.0000000;67650
MDMG;D;29/03/21;00:00:00;589.0000000;589.0000000;547.0000000;558.4000000;17290
MDMG;D;30/03/21;00:00:00;580.0000000;580.0000000;554.7000000;558.4000000;12560
MDMG;D;31/03/21;00:00:00;558.4000000;567.0000000;555.8000000;558.9000000;19900
MDMG;D;01/04/21;00:00:00;560.0000000;575.0000000;558.0500000;569.9000000;13390
MDMG;D;02/04/21;00:00:00;570.0000000;579.9500000;561.8500000;574.6500000;16500
MDMG;D;05/04/21;00:00:00;572.4000000;597.0000000;572.4000000;592.6500000;27940
MDMG;D;06/04/21;00:00:00;590.0000000;594.2500000;572.2000000;575.4500000;29050
MDMG;D;07/04/21;00:00:00;598.7500000;598.7500000;559.6000000;594.7000000;37120
MDMG;D;08/04/21;00:00:00;598.0000000;599.7000000;581.5000000;594.1500000;14830
MDMG;D;09/04/21;00:00:00;595.4500000;601.1500000;591.4000000;592.0000000;20900
MDMG;D;12/04/21;00:00:00;570.2500000;599.7500000;570.2500000;596.0000000;16430
MDMG;D;13/04/21;00:00:00;599.9500000;609.9500000;589.0000000;589.0000000;8390
MDMG;D;14/04/21;00:00:00;580.4000000;596.6500000;580.2500000;580.7000000;15570
MDMG;D;15/04/21;00:00:00;589.9500000;598.0000000;583.5500000;589.1500000;19290
MDMG;D;16/04/21;00:00:00;593.0500000;593.0500000;581.0000000;585.9500000;7470
MDMG;D;19/04/21;00:00:00;581.0000000;594.0000000;581.0000000;582.5500000;14190
MDMG;D;20/04/21;00:00:00;588.4000000;590.4500000;575.1000000;583.1000000;11590
MDMG;D;21/04/21;00:00:00;575.1500000;594.1000000;566.2500000;583.2500000;19060
MDMG;D;22/04/21;00:00:00;584.0500000;587.7500000;576.7000000;577.1500000;9660
MDMG;D;23/04/21;00:00:00;576.7500000;585.0000000;568.0000000;571.1500000;11040
MDMG;D;26/04/21;00:00:00;570.0000000;576.0500000;561.1000000;573.0500000;16790
MDMG;D;27/04/21;00:00:00;570.0000000;649.0000000;563.2500000;636.0000000;150800
MDMG;D;28/04/21;00:00:00;637.0000000;643.0000000;613.0500000;620.2500000;53120
MDMG;D;29/04/21;00:00:00;621.0000000;648.0000000;598.7500000;615.5000000;87530
MDMG;D;30/04/21;00:00:00;623.0000000;635.0000000;600.0500000;600.0500000;38940
MDMG;D;04/05/21;00:00:00;587.5000000;612.0000000;580.5000000;590.0000000;16490
MDMG;D;05/05/21;00:00:00;611.2000000;611.2000000;583.0000000;596.6000000;12300
MDMG;D;06/05/21;00:00:00;593.0000000;619.0000000;586.3000000;613.6000000;7760
MDMG;D;07/05/21;00:00:00;615.9000000;645.0000000;601.4000000;642.0000000;36190
MDMG;D;10/05/21;00:00:00;649.9000000;649.9000000;612.1000000;628.3000000;18090
MDMG;D;11/05/21;00:00:00;649.6000000;649.7000000;615.0000000;632.2000000;45680
MDMG;D;12/05/21;00:00:00;632.2000000;640.0000000;615.7000000;635.0000000;9870
MDMG;D;13/05/21;00:00:00;631.5000000;648.0000000;630.0000000;639.6000000;14590
MDMG;D;14/05/21;00:00:00;647.9000000;647.9000000;630.0000000;635.2000000;8210
